asset_tag,name,manufacturer,type,category,location,size,invoice_number,cost,quantity,last_maintenance_date,next_maintenance_date,condition,notes
000078,Spanner 9,Unknown,Spanner,Spanners,Be1Dp7IIBnw8O5gfMHtJ, 9,,,1,,,Good,
000079,Spanner 10,Unknown,Spanner,Spanners,Be1Dp7IIBnw8O5gfMHtJ,10,,,1,,,Good,
000080,Spanner 11,Unknown,Spanner,Spanners,Be1Dp7IIBnw8O5gfMHtJ,11,,,1,,,Good,
000081,Spanner 12,Unknown,Spanner,Spanners,Be1Dp7IIBnw8O5gfMHtJ,12,,,1,,,Good,
000082,Spanner 13,Unknown,Spanner,Spanners,Be1Dp7IIBnw8O5gfMHtJ,13,,,1,,,Good,
000083,Spanner 14,Unknown,Spanner,Spanners,Be1Dp7IIBnw8O5gfMHtJ,14,,,1,,,Good,
000084,Spanner 17,Rothewald,Spanner,Spanners,Be1Dp7IIBnw8O5gfMHtJ,17,,,1,,,Good,
000085,Spanner 19,Dexter,Spanner,Spanners,Be1Dp7IIBnw8O5gfMHtJ,19,,,1,,,Good,
000086,Spanner 24,Dexter,Spanner,Spanners,Be1Dp7IIBnw8O5gfMHtJ,24,,,1,,,Good,
000087,Measurement Caliper,Mamesmann,Caliper,Measurement,Be1Dp7IIBnw8O5gfMHtJ,,,,1,,,Good,
000088,Feeler Gauges,Spurtar,Feeler Gauges,Measurement,Be1Dp7IIBnw8O5gfMHtJ,0.03-1mm,,,1,,,Good,
000089,Punch,Stanley,Punch,Punch,Be1Dp7IIBnw8O5gfMHtJ,,,,1,,,Good,
000090,Steel Ruler,Gamma,Steel Ruler,Measurement,,30cm,,,1,,,Good,
000091,Ratchet 1/4,Draper,Ratchet 1/4,Ratchets,Be1Dp7IIBnw8O5gfMHtJ,1/4,,,1,,,Good,
000092,Molegrips,Stanley,Molegrips,Grips,Q9BkGskpuzQuYgEg0r0I,,,,1,,,Good,
000093,Plier,Stanley,Pliers,Grips,Q9BkGskpuzQuYgEg0r0I,,,,1,,,Good,
000094,Steel Cutter,Gamma,Steel Cutter,Cutting,Q9BkGskpuzQuYgEg0r0I,,,,1,,,Good,
000095,Bar Clamp,Silverline,Bar Clamp,Clamps,Q9BkGskpuzQuYgEg0r0I,,,,4,,,Good,
000096,Box Joint Pliers,Yato,Box Joint Pliers,Grips,Q9BkGskpuzQuYgEg0r0I,,,,1,,,Good,
000097,Box Joint Pliers,Rothewald,Box Joint Pliers,Grips,Q9BkGskpuzQuYgEg0r0I,,,,1,,,Good,
000098,Pliers,Unior,Pliers,Grips,Q9BkGskpuzQuYgEg0r0I,,,,1,,,Good,
000099,Circlip Pliers,Elliot Lucas,Pliers,Grips,Q9BkGskpuzQuYgEg0r0I,,,,1,,,Rusted,
000100,Ratchet 3/8,Stanley,Ratchet 3/8,Ratchets,Q9BkGskpuzQuYgEg0r0I,,,,1,,,Good,
000101,Ratchet Spanner 8,AOK,Ratchet Spanner,Spanners,,8,,,1,,,Good,
000102,Ratchet Spanner 10,AOK,Ratchet Spanner,Spanners,,10,,,1,,,Good,
000103,Ratchet Spanner 11,AOK,Ratchet Spanner,Spanners,,11,,,1,,,Good,
000104,Ratchet Spanner 12,AOK,Ratchet Spanner,Spanners,,12,,,1,,,Good,
000105,Ratchet Spanner 13,AOK,Ratchet Spanner,Spanners,,13,,,1,,,Good,
000106,Ratchet Spanner 14,AOK,Ratchet Spanner,Spanners,,14,,,1,,,Good,
000107,Ratchet Spanner 17,AOK,Ratchet Spanner,Spanners,,17,,,1,,,Good,
000108,Ratchet Spanner 19,AOK,Ratchet Spanner,Spanners,,19,,,1,,,Good,
000109,Socket 8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,8,,,1,,,Good,Inherited from Dad
000110,Socket 9 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,9,,,1,,,Good,Inherited from Dad
000111,Socket E10 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,10,,,1,,,Good,Inherited from Dad
000112,Socket 10 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,10,,,1,,,Good,Inherited from Dad
000113,Socket 11 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,11,,,1,,,Good,Inherited from Dad
000114,Socket 12 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,12,,,1,,,Good,Inherited from Dad
